wkt_geom	OBJECTID	OBJTYPE	NAVN	KOMM	OPPDATERIN	Shape_Leng	Shape_Area	AREA	PERIMETER	ANSLAG_FRI
POLYGON((10.211985 63.851774,10.210160 63.829112,10.207810 63.799887,10.154998 63.788830,10.092810 63.772635,9.825911 63.702613,9.804795 63.717186,9.777707 63.735855,9.710574 63.735861,9.684656 63.750811,9.684277 63.751029,9.503071 63.748830,9.213949 63.744847,9.149064 63.773647,9.234921 63.927890,9.614175 64.074676,9.806055 63.961020,9.807233 63.916858,9.808111 63.916748,9.957417 63.897980,9.978636 63.887988,9.996762 63.879445,10.066393 63.878520,10.097165 63.878101,10.158930 63.861009,10.202316 63.870075,10.211985 63.851774))	1	Kommune	Bjugn	1627		151841.408458	1167631846.74	1167631846.7428	151841.408458	236817000
POLYGON((10.436015 63.789669,10.415341 63.783229,10.432189 63.757428,10.443583 63.739948,10.251564 63.667823,10.206682 63.631784,10.133780 63.580297,10.166732 63.531052,10.170249 63.525786,10.234795 63.495579,10.056250 63.455054,10.054117 63.454568,10.048245 63.455475,9.979697 63.466047,9.916444 63.489296,9.893009 63.497893,9.774979 63.619339,9.780037 63.634850,9.785005 63.650069,9.742870 63.671842,9.825911 63.702613,10.092810 63.772635,10.154998 63.788830,10.207810 63.799887,10.210160 63.829112,10.211985 63.851774,10.214116 63.852009,10.257057 63.856726,10.338928 63.865680,10.410517 63.834409,10.436015 63.789669))	2	Kommune	Rissa	1624		131587.158894	768096649.002	768096649.001465	131587.158894	341378000
POLYGON((10.875475 63.699626,10.856458 63.693275,10.513921 63.573689,10.488582 63.516595,10.234795 63.495579,10.170249 63.525786,10.166732 63.531052,10.133780 63.580297,10.206682 63.631784,10.251564 63.667823,10.443583 63.739948,10.659013 63.793288,10.834259 63.755176,10.851339 63.732184,10.875475 63.699626))	3	Kommune	Leksvik	1718		105270.102647	628082198.67	628082198.669678	105270.102647	203337000
POLYGON((10.795299 63.557400,10.741169 63.547772,10.653928 63.490544,10.550348 63.495294,10.488582 63.516595,10.513921 63.573689,10.856458 63.693275,10.890872 63.671954,10.946814 63.637208,10.902162 63.613751,10.795299 63.557400))	4	Kommune	Frosta	1717		67107.4437749	237784707.452	237784707.451538	67107.443775	141118000
POLYGON((8.762413 63.189828,8.672148 63.187300,8.482860 63.149668,8.333216 63.157953,8.102664 63.129374,7.931234 63.115441,7.872033 63.144335,7.743679 63.166595,7.750178 63.173780,7.776125 63.202424,8.196798 63.282343,8.342934 63.359414,8.455485 63.384373,8.739831 63.446849,8.742726 63.447480,8.742924 63.447253,8.762713 63.424427,8.796641 63.385198,8.798973 63.371532,8.823713 63.371260,8.867876 63.370762,8.886874 63.351633,8.892449 63.346014,8.866372 63.295159,8.861589 63.292392,8.815971 63.265971,8.861735 63.219831,8.852999 63.213393,8.833267 63.198838,8.762413 63.189828))	5	Kommune	Aure	1576		153147.687043	1060963311.35	1060963311.34546	153147.687043	217087000
POLYGON((7.047402 62.753036,7.011126 62.752556,6.956327 62.751814,6.954726 62.751913,6.697169 62.767562,6.746097 62.822233,6.709714 62.885584,6.707257 62.889852,6.600756 62.931625,6.338072 63.091332,6.499304 63.145964,6.760985 62.985753,6.786025 62.890080,6.787855 62.883058,6.935841 62.873200,6.936088 62.873184,6.986523 62.854609,6.979937 62.842786,6.950287 62.789438,6.950347 62.789431,7.009617 62.782509,7.019636 62.781336,7.047402 62.753036))	6	Kommune	Aukra	1547		131428.043109	463710440.788	463710440.78833	131428.043109	170724000
POLYGON((6.697169 62.767562,6.576522 62.738656,6.516114 62.699817,6.329235 62.740392,6.197941 62.786782,6.067489 62.846053,5.887823 62.927082,5.978428 62.967742,6.058168 62.995574,6.135333 63.022089,6.338072 63.091332,6.600756 62.931625,6.707257 62.889852,6.709714 62.885584,6.746097 62.822233,6.697169 62.767562))	7	Kommune	Sandøy	1546		126820.84205	1015215124.98	1015215124.98166	126820.84205	85318000
POLYGON((12.052785 63.183088,12.072766 63.161042,12.094122 63.137798,12.100832 63.130487,12.118706 63.110976,12.128515 63.100266,12.141287 63.086308,12.169928 63.054356,12.199479 63.021335,12.218231 63.000332,12.170412 62.967411,12.150033 62.953582,12.134777 62.943219,12.097309 62.917878,12.074686 62.902544,12.091872 62.859557,12.098546 62.842801,12.103827 62.829546,12.117693 62.794833,12.136381 62.747916,11.901588 62.806059,11.857418 62.816927,11.820793 62.825922,11.809044 62.828804,11.804195 62.840259,11.781007 62.894897,11.580848 62.880009,11.505283 62.922807,11.464009 62.975064,11.271602 63.003928,11.313574 63.043066,11.355984 63.082495,11.381976 63.106603,11.384722 63.109148,11.411469 63.109725,11.486153 63.111309,11.486901 63.111481,11.631762 63.144583,11.630775 63.180690,11.709873 63.184500,11.930863 63.194905,11.987904 63.189390,12.052785 63.183088))	8	Kommune	Tydal	1665		163923.222271	1321951311.3	1321951311.29639	163923.222271	55398000
POLYGON((5.793344 62.205852,5.634065 62.180375,5.594794 62.174059,5.561180 62.189519,5.559349 62.190361,5.532607 62.202641,5.476292 62.205710,5.420283 62.183651,5.416004 62.161737,5.378773 62.157231,5.358389 62.154759,5.214544 62.248941,5.176286 62.273862,4.816602 62.382396,4.887400 62.433238,5.247430 62.324518,5.327438 62.316446,5.484031 62.300499,5.582293 62.290391,5.583105 62.289785,5.626650 62.257226,5.740893 62.236702,5.747441 62.235522,5.726226 62.208267,5.758894 62.207096,5.793344 62.205852))	9	Kommune	Sande	1514		131244.161633	468869196.503	468869196.502945	131244.161633	148901000
POLYGON((7.116214 62.449745,7.118023 62.429758,7.066956 62.413503,7.015657 62.437148,6.970424 62.436165,6.934575 62.435376,6.889523 62.434370,6.691698 62.461857,6.684245 62.476682,6.715526 62.480286,6.758691 62.485246,6.770299 62.486577,6.793908 62.519609,6.859188 62.543796,6.898776 62.537791,6.943770 62.530949,6.965796 62.527593,7.017535 62.470984,7.116214 62.449745))	10	Kommune	Ørskog	1523		59152.0154615	154223811.899	154223811.898743	59152.015461	118581000
